user_id,username,has_recent_events,repos_starred,recent_push_events,commits,prs_merged,activity_date
34,nitay,True,91,0,0,0,2026-09-11T17:34:07Z
35,kevwil,False,0,0,0,0,
36,KirinDave,False,0,0,0,0,
37,jamesgolick,False,0,0,0,0,
38,atmos,False,0,0,0,0,
45,sethfitz,True,1450,0,0,0,2026-09-16T14:16:52Z
46,bmizerany,True,217,0,0,0,2026-08-30T19:55:23Z
47,jnewland,True,1059,0,0,0,2026-08-27T20:01:22Z
48,joshknowles,False,0,0,0,0,
49,hornbeck,False,0,0,0,0,
50,jwhitmire,False,0,0,0,0,
51,elbowdonkey,False,0,0,0,0,
52,reinh,False,0,0,0,0,
53,knzai,False,0,0,0,0,
68,bs,True,447,0,0,0,2026-09-08T23:52:46Z
69,rsanheim,True,52,0,0,0,2026-09-15T07:19:57Z
70,schacon,True,327,0,0,0,2026-09-07T11:42:51Z
71,uggedal,False,0,0,0,0,
72,bruce,True,252,0,0,0,2026-09-06T05:06:56Z
73,sam,False,0,0,0,0,
74,mmower,True,121,0,0,0,2026-09-14T12:59:01Z
75,abhay,True,10,0,0,0,2026-09-14T01:04:51Z
76,rabble,True,155,0,0,0,2026-09-15T05:26:57Z
77,benburkert,True,129,0,0,0,2026-09-10T19:50:00Z
78,indirect,True,880,0,0,0,2026-09-16T14:33:16Z
79,fearoffish,True,73,0,0,0,2026-09-14T12:29:44Z
80,ry,True,125,0,0,0,2026-09-15T09:03:06Z
81,engineyard,False,0,0,0,0,
82,jsierles,True,89,0,0,0,2026-09-02T22:35:01Z
83,tweibley,True,291,0,0,0,2026-09-15T15:11:56Z
84,peimei,False,0,0,0,0,
85,brixen,True,951,0,0,0,2026-09-15T00:31:17Z
87,tmornini,True,9,0,0,0,2026-09-16T02:30:55Z
88,outerim,False,0,0,0,0,
89,daksis,True,717,0,0,0,2026-09-10T15:25:07Z
90,sr,False,0,0,0,0,
91,lifo,False,0,0,0,0,
92,rsl,True,51,0,0,0,2026-09-16T13:43:07Z
93,imownbey,True,189,0,0,0,2026-09-14T18:30:24Z
94,dylanegan,False,0,0,0,0,
95,jm,True,144,0,0,0,2026-09-16T02:45:57Z
100,kmarsh,True,1349,0,0,0,2026-09-03T18:17:26Z
101,jvantuyl,True,82,0,0,0,2026-09-07T00:21:46Z
102,BrianTheCoder,False,0,0,0,0,
103,freeformz,True,239,0,0,0,2026-09-15T15:12:52Z
104,hassox,True,422,0,0,0,2026-09-08T19:14:37Z
105,automatthew,False,0,0,0,0,
106,queso,True,45,0,0,0,2026-09-16T16:29:23Z
107,lancecarlson,True,1763,0,0,0,2026-09-04T17:52:24Z
108,drnic,False,0,0,0,0,
109,lukesutton,False,0,0,0,0,
110,danwrong,False,0,0,0,0,
111,HamptonMakes,True,67,0,0,0,2026-09-16T14:57:27Z
112,jfrost,False,0,0,0,0,
113,mattetti,True,1150,0,0,0,2026-08-17T14:40:32Z
114,ctennis,True,4,0,0,0,2026-09-15T18:25:52Z
115,lawrencepit,False,0,0,0,0,
116,marcjeanson,False,0,0,0,0,
117,grempe,True,384,0,0,0,2026-09-16T15:26:43Z
118,peterc,True,1164,0,0,0,2026-09-14T14:38:21Z
119,ministrycentered,False,0,0,0,0,
