language
AGS Script
ActionScript
Agda
ApacheConf
AppleScript
Arc
Arduino
Assembly
Astro
C
C#
C++
CSS
CartoCSS
Clojure
CoffeeScript
Common Lisp
Crystal
Dart
Dockerfile
EJS
Eagle
Elixir
Elm
Emacs Lisp
Erlang
Fancy
Forth
GLSL
Gleam
Go
Groovy
HCL
HTML
HaXe
Handlebars
Haskell
Idris
Io
Janet
Java
JavaScript
Jinja
Julia
Jupyter Notebook
Kotlin
Lua
MDX
Makefile
Markdown
Matlab
Max
Nix
Nunjucks
OCaml
Objective-C
Objective-J
OpenSCAD
PHP
PLpgSQL
Perl
PowerShell
Processing
Protocol Buffer
Puppet
PureScript
Python
R
Raku
Roff
Ruby
Rust
SCSS
Scala
Scheme
ShaderLab
Shell
Smarty
Svelte
Swift
TeX
TypeScript
VHDL
Verilog
Vim Script
Vim script
VimL
Vue
WebAssembly
XSLT
Zig
